ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
3,Peru,"DEN 1,2,3,4",2016,Out,14,0.338309921,0.132,4984,18,14,42.79,31774,46,13597
3,Peru,"DEN 1,2,3,4",2016,Out,19,0.327364714,0.114,8046,23,19,63.45,31774,66,20161
3,Peru,"DEN 1,2,3,4",2016,Out,21,0.336226089,0.109,9906,24,21,69.27,31774,74,22009
3,Peru,"DEN 1,2,3,4",2016,Out,2,0.293255132,0.147,168,1,2,2.15,31774,2,682
3,Peru,"DEN 1,2,3,4",2016,Out,4,0.471451021,0.052,609,1,4,6.01,31774,9,1909
3,Peru,"DEN 1,2,3,4",2015,Out,38,0.322219492,0.112,17901,41,38,117.52,31161,118,36621
3,Peru,"DEN 1,2,3,4",2015,Out,43,0.321857275,0.108,18407,41,43,121.64,31161,122,37905
3,Peru,"DEN 1,2,3,4",2015,Out,50,0.334337196,0.105,20328,41,50,125.74,31161,131,39182
3,Peru,"DEN 1,2,3,4",2015,Out,2,0,0.000,100,0,2,1.80,31161,0,560
3,Peru,"DEN 1,2,3,4",2015,Out,7,0.415944541,0.069,1087,2,7,9.26,31161,12,2885
3,Peru,"DEN 1,2,3,4",2015,Out,5,0.407124682,0.102,591,2,5,6.31,31161,8,1965
3,Peru,"DEN 1,2,3,4",2015,Out,12,0.360897536,0.126,2517,8,12,20.45,31161,23,6373
3,Peru,"DEN 1,2,3,4",2015,Out,17,0.374316153,0.115,5727,16,17,44.58,31161,52,13892
3,Peru,"DEN 1,2,3,4",2015,Out,19,0.317529837,0.109,7541,20,19,58.62,31161,58,18266
3,Peru,"DEN 1,2,3,4",2015,Out,24,0.331897465,0.106,12960,30,24,90.89,31161,94,28322
3,Peru,"DEN 1,2,3,4",2015,Out,31,0.318034604,0.105,16225,36,31,109.99,31161,109,34273
3,Peru,"DEN 1,2,3,4",2015,Out,51,0.332023825,0.104,20328,41,51,126.62,31161,131,39455
3,Peru,"DEN 1,2,3,4",2015,Out,39,0.322729368,0.111,17993,41,39,118.33,31161,119,36873
3,Peru,"DEN 1,2,3,4",2015,Out,13,0.352063090,0.141,3110,10,13,22.79,31161,25,7101
3,Peru,"DEN 1,2,3,4",2015,Out,20,0.309373036,0.097,8643,20,20,66.39,31161,64,20687
3,Peru,"DEN 1,2,3,4",2015,Out,32,0.325423338,0.107,16386,37,32,111.43,31161,113,34724
3,Peru,"DEN 1,2,3,4",2015,Out,34,0.326000680,0.111,17056,39,34,113.21,31161,115,35276
3,Peru,"DEN 1,2,3,4",2015,Out,41,0.324231625,0.110,18166,41,41,119.76,31161,121,37319
3,Peru,"DEN 1,2,3,4",2015,Out,42,0.323332980,0.109,18406,41,42,121.09,31161,122,37732
3,Peru,"DEN 1,2,3,4",2015,Out,44,0.319698121,0.107,18516,41,44,122.46,31161,122,38161
3,Peru,"DEN 1,2,3,4",2015,Out,46,0.336577348,0.107,19536,41,46,123.00,31161,129,38327
3,Peru,"DEN 1,2,3,4",2015,Out,48,0.337546118,0.107,19775,41,48,122.64,31161,129,38217
3,Peru,"DEN 1,2,3,4",2015,Out,49,0.309501702,0.106,19448,41,49,124.42,31161,120,38772
3,Peru,"DEN 1,2,3,4",2015,Out,22,0.297384763,0.101,9714,23,22,73.38,31161,68,22866
3,Peru,"DEN 1,2,3,4",2015,Out,23,0.360080200,0.110,11793,27,23,78.43,31161,88,24439
3,Peru,"DEN 1,2,3,4",2015,Out,25,0.346114693,0.105,13890,31,25,94.57,31161,102,29470
3,Peru,"DEN 1,2,3,4",2015,Out,29,0.308060416,0.096,15155,32,29,107.30,31161,103,33435
3,Peru,"DEN 1,2,3,4",2015,Out,30,0.314974537,0.103,16051,35,30,109.02,31161,107,33971
3,Peru,"DEN 1,2,3,4",2015,Out,37,0.321985855,0.110,17792,40,37,116.61,31161,117,36337
3,Peru,"DEN 1,2,3,4",2015,Out,6,0.458333333,0.083,798,2,6,7.70,31161,11,2400
3,Peru,"DEN 1,2,3,4",2015,Out,8,0.403574517,0.086,1087,3,8,11.13,31161,14,3469
3,Peru,"DEN 1,2,3,4",2015,Out,10,0.349362926,0.062,2143,3,10,15.62,31161,17,4866
3,Peru,"DEN 1,2,3,4",2015,Out,11,0.351864884,0.106,2517,6,11,18.24,31161,20,5684
3,Peru,"DEN 1,2,3,4",2015,Out,15,0.365287788,0.138,2278,14,15,32.51,31161,37,10129
3,Peru,"DEN 1,2,3,4",2015,Out,18,0.341360477,0.118,6542,19,18,51.71,31161,55,16112
3,Peru,"DEN 1,2,3,4",2015,Out,1,0,0.000,14,0,1,0.58,31161,0,180
3,Peru,"DEN 1,2,3,4",2015,Out,3,0,0.000,100,0,3,3.12,31161,0,971
3,Peru,"DEN 1,2,3,4",2015,Out,4,0.547945205,0.000,411,0,4,4.69,31161,8,1460
3,Peru,"DEN 1,2,3,4",2016,Out,11,0.343811395,0.079,3321,8,11,32.04,31774,35,10180
3,Peru,"DEN 1,2,3,4",2016,Out,16,0.329301880,0.114,6211,19,16,52.56,31774,55,16702
3,Peru,"DEN 1,2,3,4",2016,Out,18,0.341278440,0.114,7475,21,18,58.10,31774,63,18460
3,Peru,"DEN 1,2,3,4",2016,Out,23,0.318893398,0.099,11125,24,23,75.99,31774,77,24146
3,Peru,"DEN 1,2,3,4",2016,Out,33,0.370222496,0.123,14072,34,33,86.71,31774,102,27551
3,Peru,"DEN 1,2,3,4",2016,Out,36,0.382361349,0.125,14522,35,36,88.07,31774,107,27984
3,Peru,"DEN 1,2,3,4",2016,Out,43,0.402291013,0.126,15190,37,43,92.31,31774,118,29332
3,Peru,"DEN 1,2,3,4",2016,Out,48,0.409104192,0.120,16485,37,48,96.93,31774,126,30799
