name,Year,EW,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nairobi,2020,31,7/27/2020,22.6,14,17.8,22.6,14,17.8,12,70.49,0,,0,,,,,20,145.3,,86.3,12.4,,,,,2020-07-27T06:37:30,2020-07-27T18:41:01,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,31,7/28/2020,19,15.1,17.2,19,15.1,17.2,13.7,80.16,0.3,,4.17,,,,,20.9,160.8,,88.9,11.8,,,,,2020-07-28T06:37:28,2020-07-28T18:41:00,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,31,7/29/2020,23.1,15,19,23.1,15,19,12.4,67.21,0,,0,,,,,22.8,111,,75.2,11.8,,,,,2020-07-29T06:37:25,2020-07-29T18:41:00,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,31,7/30/2020,23,12,17.4,23,12,17.4,11.7,70.58,0,,0,,,,,22.4,200.5,,45.7,12.4,,,,,2020-07-30T06:37:21,2020-07-30T18:40:58,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,31,7/31/2020,24.1,12.3,17.6,24.1,12.3,17.6,12.4,73.95,0,,0,,,,,21.1,186.6,,51.3,12.3,,,,,2020-07-31T06:37:17,2020-07-31T18:40:56,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,31,8/1/2020,24.9,14.9,18.4,24.9,14.9,18.4,12.4,70.95,0,,0,,,,,23.5,175.6,,65.8,12.3,,,,,2020-08-01T06:37:12,2020-08-01T18:40:54,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,32,8/2/2020,23,12.7,17,23,12.7,17,10.2,67.62,0,,0,,,,,30.4,177.9,,75.3,12.2,,,,,2020-08-02T06:37:06,2020-08-02T18:40:51,0.49,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,32,8/3/2020,22.6,10.9,16.8,22.6,10.9,16.8,9.3,64.56,0,,0,,,,38.9,28.5,199.6,,60.3,11.4,,,,,2020-08-03T06:37:00,2020-08-03T18:40:47,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,32,8/4/2020,24.9,13,18.5,24.9,13,18.5,11,65.05,0,,0,,,,,18.4,142.5,,66,12.6,,,,,2020-08-04T06:36:53,2020-08-04T18:40:43,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,32,8/5/2020,23.9,13.9,18.4,23.9,13.9,18.4,11.8,67.28,0,,0,,,,,17.8,151.8,,64.5,12.7,,,,,2020-08-05T06:36:46,2020-08-05T18:40:38,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,32,8/6/2020,26.9,11.8,19.2,26.6,11.8,19.2,11.8,65.59,0,,0,,,,,26.1,206.7,,49.1,12.9,,,,,2020-08-06T06:36:38,2020-08-06T18:40:32,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,32,8/7/2020,26.2,12.6,19.1,26.2,12.6,19.1,12.1,66.9,0,,0,,,,,24.1,165.9,,49.1,12.2,,,,,2020-08-07T06:36:29,2020-08-07T18:40:26,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,32,8/8/2020,24,14,18.7,24,14,18.7,11.3,64.46,0,,0,,,,,18.4,180.9,,61.6,12.5,,,,,2020-08-08T06:36:20,2020-08-08T18:40:20,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,33,8/9/2020,24,14.9,18.8,24,14.9,18.8,11.5,64.07,0,,0,,,,,18.4,182.7,,62.7,12.6,,,,,2020-08-09T06:36:10,2020-08-09T18:40:13,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,33,8/10/2020,27.6,13,18.7,26.8,13,18.7,12.3,69.7,0,,0,,,,,30.6,115.8,,71.7,11.7,,,,,2020-08-10T06:35:59,2020-08-10T18:40:05,0.7,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,33,8/11/2020,27,12.8,18.9,26.8,12.8,18.9,13.3,72.97,0.7,,4.17,,,,,17.3,145.2,,64.5,11.3,,,,,2020-08-11T06:35:48,2020-08-11T18:39:57,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,33,8/12/2020,23.7,15,17.7,23.7,15,17.7,14.6,83.48,0,,0,,,,,30.6,188.3,,83.7,11.4,,,,,2020-08-12T06:35:37,2020-08-12T18:39:48,0.79,Partially cloudy,Partly cloudy throughout the day.,wind,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,33,8/13/2020,24,14.8,18.6,24,14.8,18.6,14.5,78.69,0.2,,4.17,,,,,18.8,113.1,,79.4,11.1,,,,,2020-08-13T06:35:25,2020-08-13T18:39:39,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,33,8/14/2020,23.1,15,19.5,23.1,15,19.5,14.2,73.27,0,,0,,,,,26.7,165.3,,87.9,12.4,,,,,2020-08-14T06:35:12,2020-08-14T18:39:29,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,33,8/15/2020,27.8,15,20.5,27.5,15,20.4,13.2,64.89,0,,0,,,,,24.1,187.7,,76.4,12.5,,,,,2020-08-15T06:34:58,2020-08-15T18:39:19,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,34,8/16/2020,22,13.8,16.5,22,13.8,16.6,12.1,76.16,0,,0,,,,,13,141.7,,65.6,11.8,,,,,2020-08-16T06:34:45,2020-08-16T18:39:08,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,34,8/17/2020,24.4,13.9,17.7,24.4,13.9,17.7,13.5,78.06,0,,0,,,,,21.5,128.4,,64.3,11,,,,,2020-08-17T06:34:30,2020-08-17T18:38:56,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,34,8/18/2020,25,13.9,19.3,25,13.9,19.3,12.2,66.75,0,,0,,,,,22.1,127.7,,82.9,11.4,,,,,2020-08-18T06:34:15,2020-08-18T18:38:45,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,34,8/19/2020,20.1,14.2,17,20.1,14.2,17,13.7,81.55,0.3,,4.17,,,,,14,96.1,,81.6,11.5,,,,,2020-08-19T06:34:00,2020-08-19T18:38:32,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,34,8/20/2020,24.1,15.3,18.9,24.1,15.3,18.9,13.4,72.51,0,,0,,,,,18.4,83.9,,77.5,11.6,,,,,2020-08-20T06:33:44,2020-08-20T18:38:20,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,34,8/21/2020,21,15,17.8,21,15,17.8,13.3,76.35,0,,0,,,,,18,147.4,,87.8,11.8,,,,,2020-08-21T06:33:27,2020-08-21T18:38:06,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,34,8/22/2020,21,14.7,17.1,21,14.7,17.2,13.3,78.65,1,,4.17,,,,,18.2,164.3,,87.4,12.2,,,,,2020-08-22T06:33:11,2020-08-22T18:37:53,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,35,8/23/2020,21,13.9,17,21,13.9,17,12.7,76.93,0,,0,,,,,17.3,142.8,,75.5,12.5,,,,,2020-08-23T06:32:53,2020-08-23T18:37:39,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,63741099999,HKNW,63740099999,63742099999"
Nairobi,2020,35,8/24/2020,21.1,14.1,16.9,21.1,14.1,16.9,13.5,80.97,0.7,,4.17,,,,,20.3,116.3,,83.6,10.3,,,,,2020-08-24T06:32:35,2020-08-24T18:37:24,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKJK,63741099999,HKNW,63740099999,63742099999"
