name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Salvador, Brazil",9/18/2020,27.6,21.5,24.5,29,21.5,24.8,18.9,71.37,0,,0,,,,,9.6,131.9,1015.4,0.9,11.7,,,0,,2020-09-18T05:26:09,2020-09-18T17:30:09,0.01,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/19/2020,28,21.7,24.4,30.2,21.7,24.7,20.2,77.65,0,,0,,,,,8.2,108.5,1015.2,1.2,11.7,,,0,,2020-09-19T05:25:26,2020-09-19T17:30:09,0.03,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/20/2020,28.1,22.1,24.9,30.8,22.1,25.3,20.6,77.19,0,,0,,,,,7,104.1,1014.5,1.3,11.7,,,0,,2020-09-20T05:24:43,2020-09-20T17:30:09,0.07,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/21/2020,28,24,25.4,31,24,25.8,21.5,79.69,0,,0,,,,,8.7,90.5,1014.9,1.9,11.3,,,0,,2020-09-21T05:24:01,2020-09-21T17:30:10,0.11,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/22/2020,28.7,22.2,25,32.1,22.2,25.5,21.5,81.15,0,,0,,,,,28.9,72.6,1016.5,3.8,11.5,,,0,,2020-09-22T05:23:18,2020-09-22T17:30:10,0.16,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/23/2020,28.9,24.2,25.9,32.5,24.2,26.6,20.8,74.18,0,,0,,,,,25.3,92.4,1018,3.5,11.7,,,0,,2020-09-23T05:22:35,2020-09-23T17:30:11,0.22,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/24/2020,28,22.2,24.7,30,22.2,25,20.1,76.57,0,,0,,,,,11.4,136.9,1017.8,1.8,11.2,,,0,,2020-09-24T05:21:53,2020-09-24T17:30:11,0.27,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/25/2020,27.1,22.6,24.3,29.4,22.6,24.6,20.7,80.86,0,,0,,,,,16.5,137.8,1017.2,9.4,11,,,0,,2020-09-25T05:21:11,2020-09-25T17:30:12,0.33,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/26/2020,28.5,22.1,24.9,30.7,22.1,25.4,20.5,77.67,0,,0,,,,,6.7,111.5,1015.5,1.4,11.4,,,0,,2020-09-26T05:20:28,2020-09-26T17:30:13,0.37,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/27/2020,29.1,23.1,25.3,31.1,23.1,25.9,19.9,72.44,0,,0,,,,,14.7,93.4,1014.5,0.9,11.7,,,0,,2020-09-27T05:19:46,2020-09-27T17:30:14,0.41,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/28/2020,29,22.5,25.3,32.5,22.5,26,21.4,79.3,0,,0,,,,,7.7,107,1013.8,1.2,11.7,,,0,,2020-09-28T05:19:05,2020-09-28T17:30:16,0.45,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/29/2020,29.6,23.7,26.2,32.7,23.7,27.3,21.3,74.86,0,,0,,,,,23.8,76.2,1015.3,5.1,11.7,,,0,,2020-09-29T05:18:23,2020-09-29T17:30:18,0.47,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",9/30/2020,29.6,24.1,26.2,32.4,24.1,27,20.7,72.23,0,,0,,,,,18.3,99.7,1015.9,11.9,11.7,,,0,,2020-09-30T05:17:42,2020-09-30T17:30:19,0.49,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/1/2020,28,24,25.7,30.6,24,26.4,21.9,79.96,0,,0,,,,,27.7,86.8,1014.3,32,9.7,,,0,,2020-10-01T05:17:01,2020-10-01T17:30:22,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/2/2020,29.1,23.7,26,30.7,23.7,26.6,19.9,69.57,0,,0,,,,,16.6,93.5,1014.5,5.5,10.9,,,0,,2020-10-02T05:16:20,2020-10-02T17:30:24,0.5,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/3/2020,29.6,23.1,25.9,31.9,23.1,26.6,20.5,72.66,0,,0,,,,,20.2,84.6,1014.3,5.2,10.9,,,0,,2020-10-03T05:15:40,2020-10-03T17:30:27,0.52,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/4/2020,29.1,22.7,25.8,31,22.7,26.6,20.9,74.64,0,,0,,,,,20.1,88.5,1014.4,9.3,10.9,,,0,,2020-10-04T05:15:00,2020-10-04T17:30:30,0.53,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/5/2020,28.9,24.1,26.3,30.7,24.1,27.1,20.8,71.77,0,,0,,,,,20.4,97.2,1016,30.9,10.9,,,0,,2020-10-05T05:14:20,2020-10-05T17:30:33,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/6/2020,29.5,23.6,26.1,31.9,23.6,26.9,21,73.92,0,,0,,,,,22.1,83.8,1015.6,16.9,10.9,,,0,,2020-10-06T05:13:41,2020-10-06T17:30:37,0.59,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/7/2020,29,22.7,25.6,31.9,22.7,26.4,21.2,77.38,0,,0,,,,,25.2,68,1015.3,14.6,10.4,,,0,,2020-10-07T05:13:02,2020-10-07T17:30:41,0.63,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/8/2020,30,23,26,33.5,23,27.1,21.9,78.87,0,,0,,,,,28.9,113,1013.5,16.3,9.9,,,0,,2020-10-08T05:12:23,2020-10-08T17:30:46,0.68,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/9/2020,31.1,23.7,26.6,35.8,23.7,28,22.3,78.02,0,,0,,,,,32.6,61.8,1012.9,22.7,10.8,,,0,,2020-10-09T05:11:46,2020-10-09T17:30:51,0.73,Partially cloudy,Clearing in the afternoon.,wind,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/10/2020,32.5,24.7,27.2,37.6,24.7,28.6,22.6,76.83,0,,0,,,,46.4,37.5,64.3,1010.9,14.4,10.6,,,0,,2020-10-10T05:11:08,2020-10-10T17:30:56,0.78,Clear,Clear conditions throughout the day.,wind,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/11/2020,30,25.1,26.9,33.5,25.1,28.2,22.4,76.73,0,,0,,,,,20.5,79,1012.9,8.2,10.5,,,0,,2020-10-11T05:10:31,2020-10-11T17:31:02,0.83,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/12/2020,31,24.2,26.4,34.8,24.2,27.3,22.3,78.81,0,,0,,,,,14.7,96.3,1015.6,13.1,10.7,,,0,,2020-10-12T05:09:55,2020-10-12T17:31:08,0.88,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/13/2020,30.6,24,26.3,32.7,24,27.2,21.3,74.69,0,,0,,,,,23.5,69.4,1015,16.9,10.9,,,0,,2020-10-13T05:09:19,2020-10-13T17:31:15,0.93,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/14/2020,29,23.2,26,31.3,23.2,26.7,20.8,73.35,0,,0,,,,,22,66.6,1015.2,14.6,10.9,,,0,,2020-10-14T05:08:44,2020-10-14T17:31:22,0.96,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/15/2020,30,23,26,32.8,23,26.9,21,74.23,0,,0,,,,,25.5,102.3,1014,6.5,10.9,,,0,,2020-10-15T05:08:09,2020-10-15T17:31:30,0.99,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/16/2020,29.5,22.7,26.1,32.1,22.7,27,21.1,74.66,0,,0,,,,,21.9,84.8,1014.8,10.9,10.9,,,0,,2020-10-16T05:07:35,2020-10-16T17:31:38,1,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/17/2020,29.6,24.1,26.6,31.7,24.1,27.5,20.7,70.36,0,,0,,,,,16.4,137.1,1015,6.2,10.9,,,0,,2020-10-17T05:07:02,2020-10-17T17:31:47,0,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/18/2020,26.5,23,24.1,26.5,23,24.1,22.2,89.07,0,,0,,,,,10.3,128.9,1013.8,2.7,6.8,,,0,,2020-10-18T05:06:30,2020-10-18T17:31:56,0.02,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/19/2020,29,22.7,25.7,32,22.7,26.7,21.9,79.92,0,,0,,,,,7,110.8,1013.8,1.9,10,,,0,,2020-10-19T05:05:58,2020-10-19T17:32:06,0.05,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/20/2020,29.1,23.1,25.7,31.7,23.1,26.5,21.5,78.47,0,,0,,,,,27.3,79,1015.2,7.7,10.8,,,0,,2020-10-20T05:05:27,2020-10-20T17:32:16,0.09,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/21/2020,29.5,23.7,26.3,32.1,23.7,27.1,21.1,73.64,0,,0,,,,,21.9,99.4,1015.8,3.3,10.9,,,0,,2020-10-21T05:04:56,2020-10-21T17:32:27,0.14,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
"Salvador, Brazil",10/22/2020,30.5,25.2,26.9,32.7,25.2,28.1,21.6,73.33,0,,0,,,,,23.8,88.5,1014.8,11.2,10.9,,,0,,2020-10-22T05:04:27,2020-10-22T17:32:39,0.2,Clear,Clear conditions throughout the day.,clear-day,"83248099999,86657099999,SBSV,86678099999"
